label,text
ham,"Hey, are we still meeting tomorrow?"
spam,Congratulations! You've won a prize!
ham,Can you send me the report by 5 PM?
spam,You have been selected for a free gift!
ham,I’ll call you after the meeting.
spam,"Get cheap meds now, limited time offer!"
spam,Win a brand new car just by clicking!
ham,Let’s catch up sometime next week.
spam,Claim your free iPhone now!
ham,Are you available for lunch today?
spam,Urgent! Update your account info now.
ham,"The presentation was great, well done!"
spam,You’ve won $1000! Click to receive.
ham,Reminder: dentist appointment at 10am.
spam,"Free vacation to Bahamas, click here!"
ham,Please find attached the invoice.
spam,"Limited offer, buy now!"
ham,Let’s meet at the cafe near your office.
spam,Act fast! Your account is at risk.
ham,Thanks for your feedback.
